"","text","possibly_sensitive","conversation_id","lang","author_id","created_at.x","reply_settings","id","in_reply_to_user_id","username","location","profile_image_url","name","protected","created_at.y","verified","url","description","geo_place_id","public_metrics.x_retweet_count","public_metrics.x_reply_count","public_metrics.x_like_count","public_metrics.x_quote_count","public_metrics.x_impression_count","public_metrics.y_followers_count","public_metrics.y_following_count","public_metrics.y_tweet_count","public_metrics.y_listed_count","pinned_tweet_id","text_with_display_links"
"266","@travismcelroy I grow algae as a bio fertilizer for the farmers who feed America but I also have been producing a podcast with my best friends for over 3 years where we discuss other podcast like a book club our Patreon is . https   www patreon com ThePDS",FALSE,"1239931110127271938","en","3407500768",2020-03-18 00:38:51,"everyone","1240075158389428225","19844987","PDSKirk","Plant City, FL","https://pbs.twimg.com/profile_images/1353424724471111680/L0rpr7i7_normal.jpg","The PDS Kirk Griffin",FALSE,"2015-08-07T16:48:29.000Z",FALSE,"https://t.co/AsHiFf19Ha","Full time ag-worker, husband, and father. Part time gamer, pontificator, podcast host, and social media manager of the podcast discovery show.","5a5924d17d76eb63",0,0,0,0,0,280,663,5386,9,NA,"@travismcelroy I grow algae as a bio fertilizer for the farmers who feed America but I also have been producing a podcast with my best friends for over 3 years where we discuss other podcast like a book club our Patreon is https://t.co/9JhDoodmGK"
"267","@amosmagliocco Yes...cause we had the river of blood (Red Tide here in Florida).. ",FALSE,"1240508278737711104","en","18336824",2020-03-19 15:08:16,"everyone","1240656342257410054","79870762","SkyFormZ","Tampa, FL (formerly DC area) ","https://pbs.twimg.com/profile_images/579219081418694656/7ps7KS2b_normal.jpg","SkyFormZ",FALSE,"2008-12-23T16:54:37.000Z",FALSE,"https://t.co/OlfYUk0IYm","Tweeting about the sky & weather since Dec. 2008. Find me everywhere on the web via @skyformz (aka Jason Foster)","00ee737d2da1259c",0,0,0,0,0,2323,703,8586,188,"1334607022176804866","@amosmagliocco Yes...cause we had the river of blood (Red Tide here in Florida)."
"268","@Darren19992 @macgregor63 Where are you located? We have 2 strains of algae Chlorella and Pseudodesmos. We can ship within the US but anywhere outside isn’t possible because it’s a living organism.. ",FALSE,"1245431041977966592","en","3407500768",2020-04-02 11:35:01,"everyone","1245676105215942659","1085990150155485186","PDSKirk","Plant City, FL","https://pbs.twimg.com/profile_images/1353424724471111680/L0rpr7i7_normal.jpg","The PDS Kirk Griffin",FALSE,"2015-08-07T16:48:29.000Z",FALSE,"https://t.co/AsHiFf19Ha","Full time ag-worker, husband, and father. Part time gamer, pontificator, podcast host, and social media manager of the podcast discovery show.","5a5924d17d76eb63",0,0,0,0,0,280,663,5386,9,NA,"@Darren19992 @macgregor63 Where are you located? We have 2 strains of algae Chlorella and Pseudodesmos. We can ship within the US but anywhere outside isn’t possible because it’s a living organism."
"269","Science Twitter — why is California’s red tide so much nicer (re: harmless and apparently beautiful?!) compared to Florida’s red tide? 
Never saw anything like this in my years growing up in SoCal! . https   twitter com ABC status 1256786130332237824",FALSE,"1257152977133023232","en","974010244111122432",2020-05-04 03:40:01,"everyone","1257152977133023232",NA,"AdriaIrahetaTV","Tampa, FL","https://pbs.twimg.com/profile_images/1612295053329702914/F-3QUCDx_normal.jpg","Adria",FALSE,"2018-03-14T19:51:53.000Z",TRUE,"https://t.co/HTN6t11bdA","Comms at @HillsboroughSch. Cycle instructor. Former reporter @BN9. OG @verified™️ I tweet all things Tampa & #GoBolts On a mission to change the world 🌎","dc62519fda13b4ec",0,0,1,0,0,1513,1974,9964,24,NA,"Science Twitter — why is California’s red tide so much nicer (re: harmless and apparently beautiful?!) compared to Florida’s red tide? 
Never saw anything like this in my years growing up in SoCal! https://t.co/X0DEsvCMrY"
"270","@TheBrad_Gaming The algae phenomenal. ",FALSE,"1258075005427974150","en","2913894873",2020-05-06 16:54:05,"everyone","1258077585583616003","718583868635406337","OfficialJSharp","Tampa, FL","https://pbs.twimg.com/profile_images/1621438881638801408/NYipy3q-_normal.jpg","sharp",FALSE,"2014-12-10T15:40:32.000Z",FALSE,"https://t.co/TLN9IoOIki","Official Twitter of Recording Artist, J-Sharp","dc62519fda13b4ec",0,1,0,0,0,1216,348,6374,3,"1318668881892941824","@TheBrad_Gaming The algae phenomenal"
"271","Ditto. #KAG2020 #Redtide . https   twitter com TaxReformExpert status 1271538307969822728",FALSE,"1271787642816991232","it","548145982",2020-06-13 12:52:57,"everyone","1271787642816991232",NA,"fl_bob",NA,"https://pbs.twimg.com/profile_images/1095440735149670401/tJ-UMtub_normal.jpg","BWilliams",FALSE,"2012-04-08T04:45:43.000Z",FALSE,NA,"Just an Old White Man #OWM","6d4de57fa00a913f",0,0,0,0,0,18,99,3518,1,NA,"Ditto. #KAG2020 #Redtide https://t.co/BVp71SaPoq"
"272","Kee it going Brother #Redtide . https   twitter com MrMichaelBurkes status 1272997478628044801",FALSE,"1273266508869840896","en","548145982",2020-06-17 14:49:26,"everyone","1273266508869840896",NA,"fl_bob",NA,"https://pbs.twimg.com/profile_images/1095440735149670401/tJ-UMtub_normal.jpg","BWilliams",FALSE,"2012-04-08T04:45:43.000Z",FALSE,NA,"Just an Old White Man #OWM","2cce4a9792d2d92e",0,0,0,0,0,18,99,3518,1,NA,"Kee it going Brother #Redtide https://t.co/odrg4krlXC"
"273","@ISH_TAHR @guccimules @Dirty_McFatts @ABC Yep!!! And bad algae blooms happen every year but if you’re interested in ocean health look into the run off that caused our red tide crisis in 2018. Our governors notoriously don’t care about the health of these animals’ homes.. ",FALSE,"1281378115143512066","en","32929775",2020-07-11 23:59:12,"everyone","1282102169857073153","1000074058887778306","th1s1sallstup1d","Tampa, FL","https://pbs.twimg.com/profile_images/1599266408097103873/CmcBYA1W_normal.jpg","KCL",FALSE,"2009-04-18T16:20:30.000Z",FALSE,NA,"","dc62519fda13b4ec",0,2,2,0,0,325,559,26135,0,NA,"@ISH_TAHR @guccimules @Dirty_McFatts @ABC Yep!!! And bad algae blooms happen every year but if you’re interested in ocean health look into the run off that caused our red tide crisis in 2018. Our governors notoriously don’t care about the health of these animals’ homes."
"274","@POTUS @realDonaldTrump #KAG2020 #Republican #RedTide . https   twitter com wartimegirl status 1288454628997312512",FALSE,"1288490600598327297","qme","548145982",2020-07-29 15:04:32,"everyone","1288490600598327297","822215679726100480","fl_bob",NA,"https://pbs.twimg.com/profile_images/1095440735149670401/tJ-UMtub_normal.jpg","BWilliams",FALSE,"2012-04-08T04:45:43.000Z",FALSE,NA,"Just an Old White Man #OWM","2cce4a9792d2d92e",0,0,0,0,0,18,99,3518,1,NA,"@POTUS @realDonaldTrump #KAG2020 #Republican #RedTide https://t.co/gTPPyRDYKF"
"275","LOL #DefundThePolice but #DNC what security and #Police there. Not on my tax $. I like the #GunfreeZone sign idea. #KAG2020 #Redtide . https   twitter com mchooyah status 1289227922067165186",FALSE,"1289550216694292486","en","548145982",2020-08-01 13:15:05,"everyone","1289550216694292486",NA,"fl_bob",NA,"https://pbs.twimg.com/profile_images/1095440735149670401/tJ-UMtub_normal.jpg","BWilliams",FALSE,"2012-04-08T04:45:43.000Z",FALSE,NA,"Just an Old White Man #OWM","2cce4a9792d2d92e",0,0,0,0,0,18,99,3518,1,NA,"LOL #DefundThePolice but #DNC what security and #Police there. Not on my tax $. I like the #GunfreeZone sign idea. #KAG2020 #Redtide https://t.co/JyOHr5PMCi"
"276","@agargmd @vegsource Hi 👋🏻...so are you suggesting that I, as a vegan eating WFPB including nuts, chia and occasional flax, don’t need the algae supplement I take daily? The Sherzai’s suggest algae supplement daily to maintain optimal levels for brain health. Just curious your thoughts🧐. Thanks!. ",FALSE,"1303416584011218947","en","49478723",2020-09-08 21:53:04,"everyone","1303451312999346182","43326045","jsosamd","Tampa, FL","https://pbs.twimg.com/profile_images/1611451729203060737/b6OYA1Lj_normal.jpg","John P. Sosa, M.D., DipABLM",FALSE,"2009-06-22T00:26:01.000Z",FALSE,"https://t.co/05q6t01eH3","💧Founder of Botaniq Health: a boutique Lifestyle & Aesthetic Medicine Practice / #EMSculptNEO #EMFace  #vegan🌱#GoBlue〽️","4b121d921ac7e762",0,1,1,0,0,303,414,4043,23,NA,"@agargmd @vegsource Hi 👋🏻...so are you suggesting that I, as a vegan eating WFPB including nuts, chia and occasional flax, don’t need the algae supplement I take daily? The Sherzai’s suggest algae supplement daily to maintain optimal levels for brain health. Just curious your thoughts🧐. Thanks!"
"277","@critigal1 The Red Tide. 

Of Russians.. ",FALSE,"1304252896540844033","en","55414986",2020-09-11 16:34:32,"everyone","1304458315557146626","1146800610341036032","LibbyBlog",NA,"https://pbs.twimg.com/profile_images/832592330473537536/i07vfAJ0_normal.jpg","Elizabeth Rodriguez",FALSE,"2009-07-10T00:34:22.000Z",FALSE,NA,"Transportation/urban planning consultant in Florida. Author of forthcoming ""Paleo Places"" - an evolutionary approach to urban planning.","dc62519fda13b4ec",0,0,1,0,0,3968,4920,181406,188,NA,"@critigal1 The Red Tide. 

Of Russians."
"278","@realDonaldTrump It's red tide dummy. A stinky, fish killing disease.. ",FALSE,"1317496034034057216","en","2818429555",2020-10-21 03:29:09,"everyone","1318756179770789889","25073877","kathjosmith","Florida, USA","https://pbs.twimg.com/profile_images/1298065995429552129/YshHzn2R_normal.jpg","Kathy",FALSE,"2014-09-18T23:55:19.000Z",FALSE,NA,"#resist, MAGA hater, dog lover, vote blue no matter who!","00ee737d2da1259c",0,0,0,0,0,2947,4392,14315,3,NA,"@realDonaldTrump It's red tide dummy. A stinky, fish killing disease."
"279","@realDonaldTrump Its called #RedTide dummy.... ",FALSE,"1322063800993013761","en","24239829",2020-10-30 15:00:08,"everyone","1322191564018380800","25073877","TannerMonroe","Tampa, FL","https://pbs.twimg.com/profile_images/95365715/MCcomFineArts_LogoWEB_normal.jpg","Tanner Monroe",FALSE,"2009-03-13T19:58:45.000Z",FALSE,"http://t.co/QncwlZ3Isw","Digital Media &amp; Fine Art","9e27ffe7ca397c0a",0,0,1,0,0,765,1054,5854,13,NA,"@realDonaldTrump Its called #RedTide dummy..."
"280","@adamwithana1 Might take a few weeks to get rid of all the algae.. ",FALSE,"1323353717761081344","en","198116378",2020-11-02 20:00:00,"everyone","1323354191625146368","27990475","krismeetsworld","Port Washington, WI","https://pbs.twimg.com/profile_images/1618690095392890893/IqQWxo_y_normal.jpg","THERE ARE TW🌎 PIPES",FALSE,"2010-10-03T11:53:57.000Z",FALSE,NA,"stay at home dad and military spouse with an Amazon addiction","dc62519fda13b4ec",0,0,2,0,0,9022,2726,81463,71,"1599431105274597379","@adamwithana1 Might take a few weeks to get rid of all the algae."
"281","Drove by 3 polling places is the Northern section of Tampa and NO lines could be seen. Voters walking in and out. #RedTide . https   twitter com ANTHONYBLOGAN status 1323655317658476549",FALSE,"1323720470642991104","en","548145982",2020-11-03 20:15:28,"everyone","1323720470642991104",NA,"fl_bob",NA,"https://pbs.twimg.com/profile_images/1095440735149670401/tJ-UMtub_normal.jpg","BWilliams",FALSE,"2012-04-08T04:45:43.000Z",FALSE,NA,"Just an Old White Man #OWM","2cce4a9792d2d92e",0,0,0,0,0,18,99,3518,1,NA,"Drove by 3 polling places is the Northern section of Tampa and NO lines could be seen. Voters walking in and out. #RedTide https://t.co/rXIBvRQq6l"
"282","#Redtide #MAGA @realDonaldTrump that IS there job @AOC protect legal votes and cast out Illegal votes . https   twitter com AOC status 1337145512449994755",FALSE,"1337148238684712974","en","548145982",2020-12-10 21:32:37,"everyone","1337148238684712974",NA,"fl_bob",NA,"https://pbs.twimg.com/profile_images/1095440735149670401/tJ-UMtub_normal.jpg","BWilliams",FALSE,"2012-04-08T04:45:43.000Z",FALSE,NA,"Just an Old White Man #OWM","bd975a41c2c796e9",0,1,0,0,0,18,99,3518,1,NA,"#Redtide #MAGA @realDonaldTrump that IS there job @AOC protect legal votes and cast out Illegal votes https://t.co/NBzx2u3bg4"
"283","@fl_bob @realDonaldTrump @AOC To date, NONE of the 50+ court cases have produced ANY evidence of ""illegal votes"" being counted. . https   twitter com NormDePlume69 status 1337179362454433792 photo 1",FALSE,"1337148238684712974","en","228439382",2020-12-10 23:36:18,"everyone","1337179362454433792","548145982","NormDePlume69",NA,"https://pbs.twimg.com/profile_images/1230925755/Wolf_in_snow_normal.jpg","Norm DePlume",FALSE,"2010-12-19T18:36:25.000Z",FALSE,NA,"",NA,0,0,0,0,0,816,1667,20407,6,NA,"@fl_bob @realDonaldTrump @AOC To date, NONE of the 50+ court cases have produced ANY evidence of ""illegal votes"" being counted. https://t.co/25EMB3UHUK"
"284","@Ponderosa1415 @RexChapman Not actually into the skin , just the algae that covered this Manatee. Manatee has had the rest of the algae cleaned off.. ",FALSE,"1348814786461577216","en","1158512459797401602",2021-01-12 02:19:10,"everyone","1348816761525854215","1198195258355523584","emanboe","Tampa, FL","https://pbs.twimg.com/profile_images/1231043199151616000/EQkMjdx5_normal.jpg","Emanboe",FALSE,"2019-08-05T22:57:49.000Z",FALSE,NA,"Everything in moderation! 813! Tampa Bay Area sports fan. I try not to judge, but sometimes I do. Voices in my head are my own.","01af119d415cd7d2",0,6,44,1,0,217,773,5442,0,NA,"@Ponderosa1415 @RexChapman Not actually into the skin , just the algae that covered this Manatee. Manatee has had the rest of the algae cleaned off."
